foodName,carbohydrates,protein,fat
米粉（亨氏鳕鱼苹果营养米 粉6至36个月适用）,0.4,5.0,80.4
米粉（亨氏婴儿营养米粉辅 食添加初期至36个月适用）,0.4,5.0,85.4
米粉（亨氏鱼肉蔬菜营养米 粉6至36个月适用）,0.4,5.0,80.4
米粉（亨氏猪肝蔬菜营养米 粉6至36个月适用）,0.4,5.0,80.4
米粉（嘉宝缤纷水果营养米 粉2阶段）,2.6,1.9,87.2
米粉（嘉宝菠莱营养米粉2 阶段）,2.6,1.9,87.0
米粉（嘉宝番茄牛肉营养米 粉3阶段),86.2,,
米粉（嘉宝胡萝卜营养米粉 1阶段）,87.0,6.4 福,1.9
米粉（嘉宝燕麦营养米粉3 阶段）,84.5,9.5,1.5
米粉(嘉宝营养米粉1阶段),87.0,6.4,1.9
米粉（金装宝贝营养菠菜营 养米粉）,87.0,6.4,1.9
米粉（金装宝贝营养钙铁锌 营养米粉）,87.0,6.4,1.9
米粉（金装宝贝营养什锦水 果营养米粉),87.2,6.2,1.9
米粉（金装宝贝营养西红柿 牛肉营养米粉）,86.2,7.2,1.9
米粉（金装宝贝营养燕麦营 养米粉）,84.5,9.5 1.5,
米粉 (金装核桃营养米粉),85.0,7.5,1.5
米粉(金装胡萝卜营养米粉),86.0,6.5,1.5
米粉(金装牛肉菠菜营养米粉),85.0,7.5,1.5
米粉（金装三文鱼胡萝卜营 养米粉),85.0,7.5,1.5
米粉（金装什果套餐营养米粉）,86.0,6.5,1.5
米粉(金装锌铁钙营养米粉),85.0,7.5,1.5
米粉(金装猪肝蔬菜营养米粉）,85.0,7.5,1.5
米粉（圣元DHA&胡萝卜 营养米粉1段),92.0,7.0 5.0,
米粉（圣元多维蔬菜营养米 粉2段),,7.05.0,92.0
米粉（圣元钙铁锌营养米粉 1段）,,7.0 5.0,92.0
米粉（圣元淮山薏米营养米 粉2段),5.0,5.0,92.0
米粉（圣元鸡肉香菇营养米 粉3段）,5.0,5.0,92.0
米粉（圣元乳清蛋白营养米 粉2段),5.0,2.0,87.0
米粉（圣元什锦水果营养米 粉2段）,5.0,5.0,92.0
米粉 (圣元营养米粉1段),5.0,5.0,92.0
米粉（圣元鱼肉菠菜营养米 粉2段）,5.0,5.0,92.0
米粥（干）（方广鳕鱼胡萝 卜营养雪花粥),5.0,2.0,70.0
奶米粉（亨氏强化铁锌钙营 养奶米粉辅食添加初期至36 个月适用）,0.4,5.0,85.4
奶米粉（亨氏乳清蛋白营养 奶米粉）,0.4,5.45.0,85.4
绿豆(干),,21.6,0.8 62.0
绿豆面,65.8,20.8,0.7
绿豆饼,12.7,15.2,1.2
驴肉 (瘦),,21.5,3.2 0.4
驴鞭,4.3,29.7,0.8
驴肉 (酱),0.0,33.7,2.8
驴肉 (卤),5.8,27.2,1.9
驴肉 (煮),0.0,27.0,13.5
驴肉 （五香）,0.0,28.2,6.0
幼儿配方奶粉（贝因美幼 儿成长配方奶粉）,,56.2,0.6
幼儿配方奶粉（超级飞帆 幼儿配方奶粉IV）,,,56.4 1.4
幼儿配方奶粉（超级能恩 幼儿配方奶粉3段）,,57.6,
幼儿配方奶粉（多美滋多 学1加幼儿配方奶粉3阶段),1.2,16.0,61.1
幼儿配方奶粉（多美滋优 阶幼儿配方奶粉）,,16.0,57.6
幼儿配方奶粉（多美滋幼 衡多营养幼儿配方奶粉),1.2,16.0,60.9
幼儿配方奶粉（飞帆幼儿 配方奶粉Ⅱ）,1.4,19.0,56.7
幼儿配方奶粉（合生元超 级呵护幼儿配方奶粉3阶段),3.0,19.0,59.8
幼儿配方奶粉（亨氏超金 学儿高幼儿配方奶粉3段）,2.4,21.0,56.4
幼儿配方奶粉（惠氏金装 膳儿加幼儿全营养配方奶粉),1.4,16.0,62.4
